brand_name,peta,leaping_bunny,parent_company,parent_status,notes
Friendsheep,FALSE,TRUE,,unknown,
Frilliance,FALSE,TRUE,,unknown,
FROM MOLLY WITH LOVE,TRUE,FALSE,,unknown,
From Nina,TRUE,FALSE,,unknown,
From Plants Beauty,TRUE,FALSE,,unknown,
FROMVEDAS,TRUE,FALSE,,unknown,
Frontier Natural Products Co-op,TRUE,FALSE,,unknown,
Frownies,TRUE,FALSE,B&P Company,ok,
Fruble,TRUE,FALSE,,unknown,
Fruit of the Earth,TRUE,FALSE,,unknown,
Fruit Works England,TRUE,FALSE,,unknown,
FRUITYBASKET,TRUE,FALSE,,unknown,
Frula Beauty,TRUE,FALSE,The Clean Beauty Company,ok,
FRUU,TRUE,FALSE,,unknown,
Fuck Me Up Beauty,FALSE,TRUE,,unknown,
Fudge,TRUE,FALSE,,unknown,
FUGGER GROUP S.A.S.,TRUE,FALSE,,unknown,
"Fujian Nova Hygiene Products Co., Ltd",TRUE,FALSE,,unknown,
Full Circle Beauty,FALSE,TRUE,,unknown,
Full Mellow Cosmetics,TRUE,FALSE,,unknown,
Full Out Glam,TRUE,FALSE,,unknown,
Full Unicorn,TRUE,FALSE,,unknown,
FULLY FYNE,TRUE,FALSE,,unknown,
FULSER KOZMETİK,TRUE,FALSE,,unknown,
Fün & Rayen,TRUE,FALSE,,unknown,
FUN Girl Nail,TRUE,FALSE,,unknown,
Fun’Ethic,TRUE,FALSE,,unknown,
Function of Beauty,TRUE,FALSE,,unknown,
Fundamental Earth,TRUE,FALSE,,unknown,
Fur,FALSE,TRUE,,unknown,
Furlove,TRUE,FALSE,,unknown,
FURRMATE,TRUE,FALSE,,unknown,
Furry Naturals,TRUE,FALSE,,unknown,
Furtuna Skin,TRUE,FALSE,,unknown,
Fusilli,FALSE,TRUE,,unknown,
Fusion Body Art,TRUE,FALSE,,unknown,
Future of Cool,FALSE,TRUE,,unknown,
Future Skin,TRUE,FALSE,,unknown,
Fysha,TRUE,FALSE,,unknown,
"Fyve, Inc.",TRUE,FALSE,,unknown,
G Colors,TRUE,FALSE,,unknown,
G HAIR COSMETICS,TRUE,FALSE,,unknown,
G&Z Organic Cosmetics,TRUE,FALSE,,unknown,
"G1 BIO Co.,Ltd",TRUE,FALSE,,unknown,
"Gabriel Cosmetics, Inc.",TRUE,TRUE,,unknown,
Gaelle Organic,TRUE,FALSE,,unknown,
Gaffer & Child,TRUE,FALSE,,unknown,
Gaia Retreatment,TRUE,FALSE,,unknown,
Gaia.Love,FALSE,TRUE,,unknown,
Gaia’s Melanin Shield,TRUE,FALSE,,unknown,
Gain,TRUE,FALSE,Procter & Gamble,bad,P&G sells in China
Gainer Beauty LLC,FALSE,TRUE,,unknown,
"Galderma Laboratories, L.P.",TRUE,FALSE,,unknown,
Game Beauty,TRUE,FALSE,,unknown,
Gamsung Global,TRUE,FALSE,,unknown,
Garbo & Kelly,TRUE,FALSE,,unknown,
Garden Botanika,TRUE,FALSE,,unknown,
Garden City Essentials,TRUE,FALSE,,unknown,
Garden Girl,TRUE,FALSE,,unknown,
Garden of Life,TRUE,FALSE,,unknown,
Gardener's Dream,FALSE,TRUE,,unknown,
Gardenia Rose,TRUE,FALSE,,unknown,
Garmon Corporation,TRUE,FALSE,,unknown,
Garnier,TRUE,FALSE,L’Oreal,bad,L'Oréal sells in China
Gasm Cosmetics,TRUE,FALSE,,unknown,
Gass Cosmetics,TRUE,FALSE,,unknown,
Gatineau,TRUE,FALSE,,unknown,
Gauche Beauty,TRUE,FALSE,,unknown,
Gazing Green,FALSE,TRUE,,unknown,
GBH,TRUE,FALSE,,unknown,
GCVM COSMETICS,TRUE,FALSE,,unknown,
GDS Marcas,TRUE,FALSE,,unknown,
Geekyclean,TRUE,FALSE,,unknown,
GEL.IT.UP Greece,TRUE,FALSE,,unknown,
Gelish,TRUE,FALSE,,unknown,
Gelly Bae,FALSE,TRUE,,unknown,
Gelstory,TRUE,FALSE,,unknown,
