brand_name,peta,leaping_bunny,parent_company,parent_status,notes
haruharu wonder,TRUE,FALSE,,unknown,
Harvey Haven Lavender Farm,FALSE,TRUE,,unknown,
Harvey Prince,TRUE,FALSE,,unknown,
Has To Be Cosmética Natural,TRUE,FALSE,,unknown,
Hashtag Brothers,TRUE,FALSE,,unknown,
HASK,FALSE,TRUE,,unknown,
HASKELL COSMETICOS,TRUE,FALSE,,unknown,
HATCH MAMA,FALSE,TRUE,,unknown,
HATHOR Aroma Cosmetic,TRUE,FALSE,,unknown,
HAUS LABS BY LADY GAGA,FALSE,TRUE,,unknown,
Haus of Glas,TRUE,FALSE,,unknown,
Haute X IV,TRUE,FALSE,,unknown,
